,ID_PAQUETE,CATEGORIA_ASIGNADA,ALTO,ANCHO,LARGO,PESO_ASIGNADO,TIPO_MANIPULACION,LUGAR_PROCEDENCIA,TEMPERATURA_ALMACENAMIENTO,PROTOCOLO,LUGAR_PROCEDENCIA_WOE,TIPO_MANIPULACION_NUM,TEMPERATURA_ALMACENAMIENTO_NUM,PROTOCOLO_TARGET
0,1,pequeño,11.25,16.58,17.13,8.09620379331522,normal,B,ambiente,Protocolo_2,0.04923211956638846,1,1,0
1,2,mediano,36.87,33.5,41.15,24.975459240134093,fragil,D,ambiente,Protocolo_2,-0.009581505147896952,0,1,0
2,3,pequeño,11.99,14.11,15.45,4.946614378650924,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
3,4,pequeño,11.79,16.2,18.42,9.365609622893782,normal,C,ambiente,Protocolo_2,0.04045895222184034,1,1,0
4,5,pequeño,12.47,13.49,17.03,7.179166053415768,normal,B,refrigerado,Protocolo_1,0.04923211956638846,1,0,1
5,6,mediano,38.78,34.94,38.13,19.10331755139215,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
6,7,pequeño,11.51,24.05,15.81,3.0233439663812067,fragil,A,refrigerado,Protocolo_1,-0.07511902747114502,0,0,1
7,8,mediano,38.19,35.35,36.18,16.262482593578273,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
8,9,pequeño,12.42,17.01,19.17,7.881095438624234,normal,C,refrigerado,Protocolo_2,0.04045895222184034,1,0,0
9,10,mediano,38.04,30.1,39.05,20.18704165826601,fragil,C,ambiente,Protocolo_1,0.04045895222184034,0,1,1
10,11,mediano,39.17,37.33,45.78,13.241396959431444,normal,A,ambiente,Protocolo_1,-0.07511902747114502,1,1,1
11,12,pequeño,13.11,19.39,18.38,6.728582069385689,normal,B,ambiente,Protocolo_1,0.04923211956638846,1,1,1
12,13,mediano,35.96,36.9,38.32,22.940634993070194,fragil,C,ambiente,Protocolo_2,0.04045895222184034,0,1,0
13,14,mediano,36.61,30.1,37.9,22.279016532328647,normal,A,refrigerado,Protocolo_1,-0.07511902747114502,1,0,1
14,15,grande,97.4,65.71,60.47,52.57242448129981,fragil,C,refrigerado,Protocolo_2,0.04045895222184034,0,0,0
15,16,grande,67.78,64.34,62.8,77.17654410189628,fragil,D,refrigerado,Protocolo_1,-0.009581505147896952,0,0,1
